year,EdadDesde,EdadHasta,CantidadPuestosVacantes,Confidencial,AreaEstudio1,IdIdioma1,isco_2dig_pred,Sexo,JornadaLaboral,NombreNivelJerarquico,num_words,highest_GradoEstudio,section_ciiu,cogn_core,cogn_soph,cogn_comp,cogn_software,cogn_mlai,cogn_finance,cogn_writing,cogn_manage,social_character,social_social,social_peoplemanage,social_customer,manual_fingerdexterity,manual_coordination,manual_physical,Sueldo
2023.0,24.0,70.0,1,1.0,,Español,33.0,,Completa,Supervisor,256.0,Secondary education,H - Transportation and storage,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,52500.0
2023.0,24.0,70.0,1,1.0,,Español,33.0,,Completa,Supervisor,256.0,Secondary education,H - Transportation and storage,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,52500.0
2022.0,18.0,40.0,6,0.0,,Español,52.0,,Medio turno tarde,Empleado,49.0,Secondary education,J - Information and communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23291.228664
2022.0,18.0,40.0,6,0.0,,Español,52.0,,Completa,Empleado,49.0,Secondary education,J - Information and communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31760.766359999998
2012.0,18.0,45.0,3,1.0,,,52.0,,,Empleado,45.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,34398.075109
2013.0,18.0,45.0,3,1.0,,,52.0,,,Empleado,45.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,31681.356037
2017.0,30.0,60.0,1,0.0,,,25.0,,Indiferente,Empleado,132.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55501.699609999996
2019.0,21.0,29.0,1,0.0,,,25.0,,Completa,Empleado,68.0,,J - Information and communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88789.990575
2021.0,20.0,40.0,2,0.0,Computación - Sistemas - Programación,Inglés,25.0,,Completa,Empleado,297.0,University degree,"M - Professional, scientific and technical activities",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55443.819456
2018.0,,,1,1.0,,,25.0,,Medio turno mañana,Empleado,58.0,,J - Information and communication,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44210.03427
